x,y1,y2,y3
0,1,1,1
0.000788644,1,1,1
0.00157729,1,1.00685,0.999561
0.00236593,1,1.00685,0.999561
0.00315457,1,1.00685,0.999561
0.00394322,1,1.00685,0.999561
0.00473186,1.00002,1.0137,0.999124
0.0055205,1.00002,1.0137,0.999124
0.00630915,1.00002,1.0137,0.999124
0.00709779,1.00002,1.0137,0.999124
0.00788644,1.00005,1.02055,0.998689
0.00867508,1.00005,1.02055,0.998689
0.00946372,1.00005,1.02055,0.998689
0.0102524,1.00005,1.02055,0.998689
0.011041,1.00011,1.0274,0.998256
0.0118297,1.00011,1.0274,0.998256
0.0126183,1.00011,1.0274,0.998256
0.0134069,1.00011,1.0274,0.998256
0.0141956,1.00018,1.03424,0.997825
0.0149842,1.00018,1.03424,0.997825
0.0157729,1.00018,1.03424,0.997825
0.0165615,1.00018,1.03424,0.997825
0.0173502,1.00027,1.04109,0.997397
0.0181388,1.00027,1.04109,0.997397
0.0189274,1.00027,1.04109,0.997397
0.0197161,1.00027,1.04109,0.997397
0.0205047,1.00038,1.04793,0.99697
0.0212934,1.00038,1.04793,0.99697
0.022082,1.00038,1.04793,0.99697
0.0228707,1.00038,1.04793,0.99697
0.0236593,1.0005,1.05477,0.996546
0.0244479,1.0005,1.05477,0.996546
0.0252366,1.0005,1.05477,0.996546
0.0260252,1.0005,1.05477,0.996546
0.0268139,1.00065,1.06161,0.996124
0.0276025,1.00065,1.06161,0.996124
0.0283912,1.00065,1.06161,0.996124
0.0291798,1.00065,1.06161,0.996124
0.0299685,1.00081,1.06846,0.995703
0.0307571,1.00081,1.06846,0.995703
0.0315457,1.00081,1.06846,0.995703
0.0323344,1.00081,1.06846,0.995703
0.033123,1.00098,1.0753,0.995286
0.0339117,1.00098,1.0753,0.995286
0.0347003,1.00098,1.0753,0.995286
0.035489,1.00098,1.0753,0.995286
0.0362776,1.00118,1.08214,0.99487
0.0370662,1.00118,1.08214,0.99487
0.0378549,1.00118,1.08214,0.99487
0.0386435,1.00118,1.08214,0.99487
0.0394322,1.00139,1.08898,0.994456
0.0402208,1.00139,1.08898,0.994456
0.0410095,1.00139,1.08898,0.994456
0.0417981,1.00139,1.08898,0.994456
0.0425868,1.00162,1.09581,0.994045
0.0433754,1.00162,1.09581,0.994045
0.044164,1.00162,1.09581,0.994045
0.0449527,1.00162,1.09581,0.994045
0.0457413,1.00187,1.10265,0.993635
0.04653,1.00187,1.10265,0.993635
0.0473186,1.00187,1.10265,0.993635
0.0481073,1.00187,1.10265,0.993635
0.0488959,1.00214,1.10949,0.993228
0.0496845,1.00214,1.10949,0.993228
0.0504732,1.00214,1.10949,0.993228
0.0512618,1.00214,1.10949,0.993228
0.0520505,1.00242,1.11633,0.992823
0.0528391,1.00242,1.11633,0.992823
0.0536278,1.00242,1.11633,0.992823
0.0544164,1.00242,1.11633,0.992823
0.055205,1.00272,1.12317,0.99242
0.0559937,1.00272,1.12317,0.99242
0.0567823,1.00272,1.12317,0.99242
0.057571,1.00272,1.12317,0.99242
0.0583596,1.00304,1.13001,0.99202
0.0591483,1.00304,1.13001,0.99202
0.0599369,1.00304,1.13001,0.99202
0.0607256,1.00304,1.13001,0.99202
0.0615142,1.00337,1.13686,0.991621
0.0623028,1.00337,1.13686,0.991621
0.0630915,1.00337,1.13686,0.991621
0.0638801,1.00337,1.13686,0.991621
0.0646688,1.00373,1.1437,0.991225
0.0654574,1.00373,1.1437,0.991225
0.0662461,1.00373,1.1437,0.991225
0.0670347,1.00373,1.1437,0.991225
0.0678233,1.00409,1.15054,0.990831
0.068612,1.00409,1.15054,0.990831
0.0694006,1.00409,1.15054,0.990831
0.0701893,1.00409,1.15054,0.990831
0.0709779,1.00448,1.15738,0.990439
0.0717666,1.00448,1.15738,0.990439
0.0725552,1.00448,1.15738,0.990439
0.0733438,1.00448,1.15738,0.990439
0.0741325,1.00488,1.16423,0.99005
0.0749211,1.00488,1.16423,0.99005
0.0757098,1.00488,1.16423,0.99005
0.0764984,1.00488,1.16423,0.99005
0.0772871,1.0053,1.17107,0.989662
0.0780757,1.0053,1.17107,0.989662
0.0788644,1.0053,1.17107,0.989662
0.079653,1.0053,1.17107,0.989662
0.0804416,1.00574,1.17792,0.989277
0.0812303,1.00574,1.17792,0.989277
0.0820189,1.00574,1.17792,0.989277
0.0828076,1.00574,1.17792,0.989277
0.0835962,1.00619,1.18477,0.988894
0.0843849,1.00619,1.18477,0.988894
0.0851735,1.00619,1.18477,0.988894
0.0859621,1.00619,1.18477,0.988894
0.0867508,1.00666,1.19162,0.988513
0.0875394,1.00666,1.19162,0.988513
0.0883281,1.00666,1.19162,0.988513
0.0891167,1.00666,1.19162,0.988513
0.0899054,1.00715,1.19847,0.988135
0.090694,1.00715,1.19847,0.988135
0.0914826,1.00715,1.19847,0.988135
0.0922713,1.00715,1.19847,0.988135
0.0930599,1.00766,1.20532,0.987758
0.0938486,1.00766,1.20532,0.987758
0.0946372,1.00766,1.20532,0.987758
0.0954259,1.00766,1.20532,0.987758
0.0962145,1.00818,1.21218,0.987384
0.0970032,1.00818,1.21218,0.987384
0.0977918,1.00818,1.21218,0.987384
0.0985804,1.00818,1.21218,0.987384
0.0993691,1.00871,1.21904,0.987012
0.100158,1.00871,1.21904,0.987012
0.100946,1.00871,1.21904,0.987012
0.101735,1.00871,1.21904,0.987012
0.102524,1.00927,1.2259,0.986643
0.103312,1.00927,1.2259,0.986643
0.104101,1.00927,1.2259,0.986643
0.10489,1.00927,1.2259,0.986643
0.105678,1.00984,1.23276,0.986276
0.106467,1.00984,1.23276,0.986276
0.107256,1.00984,1.23276,0.986276
0.108044,1.00984,1.23276,0.986276
0.108833,1.01043,1.23962,0.985911
0.109621,1.01043,1.23962,0.985911
0.11041,1.01043,1.23962,0.985911
0.111199,1.01043,1.23962,0.985911
0.111987,1.01103,1.24649,0.985548
0.112776,1.01103,1.24649,0.985548
0.113565,1.01103,1.24649,0.985548
0.114353,1.01103,1.24649,0.985548
0.115142,1.01165,1.25336,0.985187
0.115931,1.01165,1.25336,0.985187
0.116719,1.01165,1.25336,0.985187
0.117508,1.01165,1.25336,0.985187
0.118297,1.01229,1.26023,0.984829
0.119085,1.01229,1.26023,0.984829
0.119874,1.01229,1.26023,0.984829
0.120662,1.01229,1.26023,0.984829
0.121451,1.01294,1.2671,0.984473
0.12224,1.01294,1.2671,0.984473
0.123028,1.01294,1.2671,0.984473
0.123817,1.01294,1.2671,0.984473
